Дата,Коррупция,Взятка,приговор,дело,Хищение,расследование,Задержание,Получение,Преступление,миллиард,миллион,судебный,процесс,аким,начальник,заместитель,район,город,область,правонарушение,Всего коррупционных преступлений
2016-12-01,8.0,3.0,4.0,13,1.0,4.0,3.0,1,2.0,2.0,6.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,3214
2017-01-01,41.0,29.0,1.0,30,1.0,14.0,16.0,21,4.0,7.0,13.0,7.0,4.0,9.0,5.0,16.0,13.0,3.0,14.0,2.0,1137
2017-02-01,24.0,16.0,15.0,55,19.0,16.0,10.0,15,10.0,11.0,40.0,2.0,1.0,3.0,6.0,3.0,3.0,9.0,14.0,3.0,1337
2017-03-01,33.0,26.0,10.0,73,24.0,26.0,8.0,17,30.0,12.0,45.0,12.0,4.0,13.0,2.0,18.0,17.0,12.0,23.0,7.0,1566
2017-04-01,42.0,22.0,4.0,48,13.0,10.0,1.0,15,11.0,9.0,20.0,12.0,3.0,2.0,10.0,18.0,2.0,9.0,18.0,5.0,1802
2017-05-01,13.0,20.0,9.0,36,20.0,11.0,1.0,12,8.0,7.0,21.0,5.0,2.0,5.0,5.0,15.0,3.0,7.0,5.0,3.0,2011
2017-06-01,7.0,15.0,6.0,14,3.0,3.0,4.0,8,5.0,2.0,10.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,6.0,2.0,2270
2017-08-01,16.0,10.0,5.0,15,3.0,14.0,1.0,9,4.0,1.0,14.0,18.0,2.0,5.0,1.0,3.0,2.0,1.0,5.0,2.0,2577
2017-11-01,58.0,35.0,10.0,57,8.0,20.0,5.0,25,27.0,22.0,24.0,9.0,6.0,9.0,7.0,14.0,9.0,8.0,11.0,2.0,3059
2017-12-01,17.0,40.0,29.0,36,4.0,14.0,4.0,18,10.0,14.0,32.0,11.0,2.0,8.0,6.0,10.0,4.0,3.0,10.0,3.0,2965
2018-01-01,29.0,42.0,8.0,90,7.0,17.0,2.0,27,21.0,13.0,36.0,12.0,9.0,2.0,9.0,5.0,1.0,2.0,8.0,6.0,1621
2018-02-01,50.0,65.0,11.0,92,16.0,17.0,12.0,36,27.0,3.0,49.0,22.0,12.0,2.0,1.0,10.0,5.0,2.0,7.0,6.0,1259
2018-03-01,20.0,99.0,24.0,81,5.0,12.0,6.0,48,17.0,14.0,46.0,18.0,11.0,7.0,11.0,23.0,8.0,5.0,17.0,5.0,1450
2018-04-01,16.0,27.0,4.0,24,8.0,9.0,2.0,14,10.0,10.0,20.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,7.0,3.0,1621
