Date,Total Crimes
2016-11,3463.0
2016-12,3214.0
2017-01,1137.0
2017-02,1337.0
2017-03,1566.0
2017-04,1802.0
2017-05,2011.0
2017-06,2270.0
2017-07,2424.0
2017-08,2577.0
2017-09,2738.0
2017-10,2898.0
2017-11,3059.0
2017-12,2965.0
2018-01,1621.0
2018-02,1259.0
2018-03,1450.0
2018-04,1621.0
2018-05,1909.0
2018-06,2161.0
2018-07,2285.0
2018-08,2415.0
2018-09,2626.0
2018-10,2756.0
2018-11,2886.0
2018-12,2841.0
2019-01,1029.0
2019-02,1256.0
2019-03,1583.0
2019-04,1793.0
2019-05,1946.0
2019-06,2064.0
2019-07,2182.0
2019-08,2300.0
2019-09,2553.0
2019-10,2663.0
2019-11,2754.0
2019-12,2720.0
2020-01,1080.0
2020-02,1255.0
2020-03,1395.0
2020-04,1619.0
2020-05,1842.0
2020-06,2057.0
2020-07,2195.0
2020-08,2333.0
2020-09,2593.0
2020-10,2725.0
2020-11,2895.0
2020-12,2674.0
2021-01,896.0
2021-02,1047.0
2021-03,1168.0
2021-04,1275.0
2021-05,1443.0
2021-06,1523.0
2021-07,1647.0
2021-08,1803.0
2021-09,1914.0
2021-10,1979.0
2021-11,2087.0
2021-12,2046.0
2022-01,853.0
2022-02,1069.0
2022-03,1259.0
2022-04,1449.0
2022-05,1638.0
2022-06,1828.0
2022-07,1920.0
2022-08,1973.0
2022-09,2045.0
2022-10,2084.0
2022-11,2180.0
2022-12,2191.0
2023-01,827.0
2023-02,991.0
2023-03,1088.0
2023-04,1221.0
2023-05,1346.0
2023-06,1465.0
2023-07,1595.0
2023-08,1700.0
2023-09,1808.0
2023-10,1889.0
2023-11,1984.0
2023-12,2133.0
2024-01,811.0
2024-02,1054.0
2024-03,1167.0
2024-04,1297.0
2024-05,1452.0
2024-06,1531.0
2024-07,1693.0
2024-08,1769.0
2024-09,1903.0
2024-10,1989.0
2024-11,2100.0
2024-12,2098.0
2025-01,730.0
