Дата,Коррупция_сумма,Власть_сумма,Финансы_сумма,Месяц,Год,Всего коррупционных преступлений
2016-12-01,15.0,13.0,8.0,12,2016,3214
2017-01-01,94.0,60.0,20.0,1,2017,1137
2017-02-01,77.0,38.0,51.0,2,2017,1337
2017-03-01,107.0,85.0,57.0,3,2017,1566
2017-04-01,97.0,59.0,29.0,4,2017,1802
2017-05-01,68.0,40.0,28.0,5,2017,2011
2017-06-01,35.0,15.0,12.0,6,2017,2270
2017-08-01,40.0,17.0,15.0,8,2017,2577
2017-11-01,128.0,58.0,46.0,11,2017,3059
2017-12-01,82.0,41.0,46.0,12,2017,2965
2018-01-01,111.0,27.0,49.0,1,2018,1621
2018-02-01,173.0,27.0,52.0,2,2018,1259
2018-03-01,177.0,71.0,60.0,3,2018,1450
2018-04-01,68.0,15.0,30.0,4,2018,1621
2018-05-01,88.0,29.0,12.0,5,2018,1909
2018-06-01,114.0,36.0,40.0,6,2018,2161
2018-07-01,52.0,47.0,6.0,7,2018,2285
2018-08-01,94.0,45.0,32.0,8,2018,2415
2018-09-01,100.0,62.0,18.0,9,2018,2626
2018-11-01,74.0,54.0,27.0,11,2018,2886
2018-12-01,58.0,19.0,8.0,12,2018,2841
2019-01-01,82.0,90.0,34.0,1,2019,1029
2019-02-01,127.0,118.0,22.0,2,2019,1256
2019-03-01,97.0,53.0,35.0,3,2019,1583
2019-04-01,57.0,49.0,8.0,4,2019,1793
2019-05-01,34.0,22.0,3.0,5,2019,1946
2019-08-01,49.0,55.0,26.0,8,2019,2300
2019-09-01,142.0,132.0,25.0,9,2019,2553
2019-10-01,254.0,198.0,61.0,10,2019,2663
2019-11-01,116.0,93.0,36.0,11,2019,2754
2019-12-01,107.0,138.0,48.0,12,2019,2720
2020-01-01,134.0,103.0,45.0,1,2020,1080
2020-02-01,178.0,119.0,62.0,2,2020,1255
2020-03-01,63.0,45.0,24.0,3,2020,1395
2020-05-01,116.0,95.0,34.0,5,2020,1842
2020-06-01,138.0,124.0,54.0,6,2020,2057
2020-08-01,187.0,193.0,48.0,8,2020,2333
2020-09-01,111.0,98.0,46.0,9,2020,2593
2020-10-01,71.0,42.0,13.0,10,2020,2725
2020-11-01,31.0,18.0,7.0,11,2020,2895
2020-12-01,38.0,50.0,28.0,12,2020,2674
2021-01-01,63.0,32.0,29.0,1,2021,896
2021-02-01,74.0,70.0,13.0,2,2021,1047
2021-03-01,48.0,24.0,31.0,3,2021,1168
2021-04-01,55.0,26.0,13.0,4,2021,1275
2021-05-01,30.0,20.0,12.0,5,2021,1443
2021-06-01,32.0,22.0,4.0,6,2021,1523
2021-07-01,36.0,24.0,5.0,7,2021,1647
2021-08-01,26.0,30.0,8.0,8,2021,1803
2021-09-01,38.0,18.0,9.0,9,2021,1914
2021-10-01,30.0,13.0,3.0,10,2021,1979
2021-11-01,42.0,35.0,7.0,11,2021,2087
2021-12-01,50.0,102.0,17.0,12,2021,2046
2022-01-01,16.0,12.0,5.0,1,2022,853
2022-02-01,70.0,49.0,10.0,2,2022,1069
2022-03-01,28.0,23.0,6.0,3,2022,1308
2022-04-01,53.0,39.0,12.0,4,2022,1527
2022-05-01,45.0,28.0,10.0,5,2022,1665
2022-06-01,24.0,47.0,16.0,6,2022,1828
2022-07-01,48.0,26.0,13.0,7,2022,1920
2022-08-01,30.0,44.0,9.0,8,2022,1973
2022-09-01,34.0,22.0,5.0,9,2022,2045
2022-10-01,80.0,27.0,22.0,10,2022,2084
2022-11-01,31.0,21.0,9.0,11,2022,2180
2022-12-01,65.0,12.0,15.0,12,2022,2191
2023-01-01,41.0,32.0,19.0,1,2023,604
2023-02-01,33.0,34.0,7.0,2,2023,708
2023-03-01,24.0,17.0,6.0,3,2023,771
2023-04-01,72.0,39.0,27.0,4,2023,859
2023-05-01,57.0,31.0,31.0,5,2023,934
2023-06-01,45.0,27.0,14.0,6,2023,1007
2023-07-01,36.0,46.0,21.0,7,2023,1092
2023-08-01,50.0,72.0,20.0,8,2023,1183
2023-09-01,73.0,63.0,17.0,9,2023,1808
2023-10-01,61.0,32.0,27.0,10,2023,1321
2023-11-01,84.0,100.0,55.0,11,2023,1397
2023-12-01,64.0,49.0,21.0,12,2023,1469
2024-01-01,99.0,95.0,45.0,1,2024,509
2024-02-01,69.0,67.0,43.0,2,2024,671
2024-03-01,24.0,17.0,17.0,3,2024,754
2024-04-01,47.0,36.0,59.0,4,2024,864
2024-05-01,31.0,23.0,21.0,5,2024,954
2024-06-01,52.0,35.0,17.0,6,2024,1073
2024-07-01,108.0,62.0,42.0,7,2024,1200
2024-08-01,47.0,45.0,33.0,8,2024,1246
2024-09-01,63.0,76.0,29.0,9,2024,1300
2024-10-01,52.0,49.0,33.0,10,2024,1358
2024-11-01,61.0,58.0,27.0,11,2024,1415
