Дата,Министерство иностранных дел Республики Казахстан,Министерство внутренних дел Республики Казахстан,Министерство обороны Республики Казахстан,Министерство культуры и информации Республики Казахстан,Министерство сельского хозяйства Республики Казахстан,Министерство юстиции Республики Казахстан,Министерство просвещения Республики Казахстан,Министерство науки и высшего образования Республики Казахстан,Министерство здравоохранения Республики Казахстан,Министерство труда и социальной защиты населения Республики Казахстан,Министерство промышленности и строительства Республики Казахстан,Министерство финансов Республики Казахстан,Министерство туризма и спорта Республики Казахстан,Министерство национальной экономики Республики Казахстан,"Министерство цифрового развития, инноваций и аэрокосмической промышленности Республики Казахстан",Министерство энергетики Республики Казахстан,Министерство торговли и интеграции Республики Казахстан,Министерство экологии и природных ресурсов Республики Казахстан,Министерство по чрезвычайным ситуациям Республики Казахстан,Министерство транспорта Республики Казахстан,Генеральная прокуратура Республики Казахстан,Верховный суд Республики Казахстан,АкиматГП,МСХ,МЮ,МОН,МЗ,МТСЗН,МИОР,МЦРИАП,МИИР,МФ,МО,МКС,МНЭ,МЭ,МИД,МВД,МЭГПР,МТИ,АДГС,НБ,КПССУ ГП,ККМФД МЗСР,КНБ,ДОДСВС,ЕНПФ,МИО,Государственная корпорация,АГУ,АО,РГУ,РГП,РГП на ПХВ,РГКП,КГУ,СМИ,АРРФР,Абайская область,Акмолинская область,Актюбинская область,Алматинская область,Атырауская область,Восточно-Казахстанская область,Жамбылская область,Жетысуская область,Западно-Казахстанская область,Карагандинская область,Костанайская область,Кызылординская область,Мангистауская область,Павлодарская область,Северо-Казахстанская область,Туркестанская область,Улытауская область,СКО,ВКО,ЗКО,ЮКО,Актау,Актобе,Атырау,Жезказган,Караганда,Кокшетау,Конаев,Костанай,Кызылорда,Павлодар,Петропавловск,Семей,Талдыкорган,Тараз,Туркестан,Уральск,Усть-Каменогорск,Астана,Алматы,Шымкент
2016-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,51,1,0
2017-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,13,36,0
2017-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,1
2017-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,13,0,0,0,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,15,0
2017-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,17,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,8,20,1
2017-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0
2017-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,7,0,0,0,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,3,8,4
2017-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
2017-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,8,0
