News Link,Date
/other/eks-premer-mali-arestovan-po-obvineniyu-v-korruptsii-446920/,2021-08-27
/kazakhstan_news/chinovnitsa-iz-mangistau-zaplatit-pyatimillionnyiy-shtraf-388958/,2020-01-17
/sng/gulnara-karimova-v-blijayshie-dni-predstanet-pered-sudom-smi-329753/,2017-10-29
/kazakhstan_news/narusheniya-34-milliarda-tenge-vyiyavili-organyi-gosaudita-332579/,2017-12-05
/crime/vrachi-atyirau-ubili-mladentsa-ne-peredelyivat-dokumentyi-380763/,2019-10-04
/kazakhstan_news/osujdennyiy-eks-akim-kostanaya-poprosil-dosrochnom-361143/,2019-01-10
/kazakhstan_news/slujaschih-kakih-ministerstv-chasche-lovili-korruptsii-528510/,2024-03-06
/crime/politseyskih-spetstsona-almatyi-osudili-vzyatku-snyatie-avto-348277/,2018-07-04
/kazakhstan_news/osujden-eks-vitse-ministr-i-byivshiy-zamakima-almatyi-511549/,2023-09-26
/kazakhstan_news/doljnostnyie-litsa-ministerstva-kulturyi-podozrevayutsya-356651/,2018-11-01
/crime/byivshiy-direktor-detdoma-1-chinovnik-akimata-almatyi-323689/,2017-08-05
/crime/rukovoditelya-otdela-slujebnyih-rassledovaniy-dgd-almatyi-314429/,2017-03-18
/kazakhstan_news/paket-deneg-bagajnike-chinovnika-prigovorili-11-godam-541765/,2024-07-18
/kazakhstan_news/obogatilis-na-elke-dlya-detey-chinovnikov-sudyat-v-atyirau-380608/,2019-10-03
/kazakhstan_news/uscherb-100-millionov-tenge-podozrevayut-rabotnikov-akimata-543114/,2024-07-30
/world_news/eks-prezidenta-yujnoy-korei-prigovorili-k-24-godam-tyurmyi-341495/,2018-04-06
/kazakhstan_news/vozmojno-korrumpirovannyie-deputat-raskritikoval-chinovnikov-551184/,2024-10-16
/crime/politseyskiy-vyimogal-polmilliona-tenge-kollegi-shyimkente-379790/,2019-09-23
https://tengrisport.kz/tnsport/200-milliardov-tratah-kazahstanskih-klubov-rasskazali-538829/,2024-06-19
/kazakhstan_news/akimov-selskih-okrugov-almatinskoy-oblasti-zaveli-ugolovnyie-399838/,2020-04-23
/kazakhstan_news/kazahstanskie-chinovniki-otkazalis-podarkov-23-milliona-560614/,2025-01-28
/kazakhstan_news/chi-deklaratsii-stanut-publichnyimi-2025-goda-perechen-541569/,2024-07-19
/news/evropeyskie-ekspertyi-vpervyie-otsenivayut-448333/,2021-09-13
/kazakhstan_news/vyisokopostavlennogo-pavlodarskogo-chinovnika-podozrevayut-436117/,2021-04-30
/kazakhstan_news/mertvyie-dushi-nashli-v-podvedomstvennoy-organizatsii-msh-rk-308497/,2016-12-20
/events/nachalnika-upravleniya-delam-oboronyi-osudili-vzyatku-307202/,2016-11-30
/kazakhstan_news/poyavilis-podrobnosti-zaderjaniya-akima-bagdata-karasaeva-546900/,2024-09-04
/kazakhstan_news/zelenskiy-prizval-proverit-deputatov-na-detektore-lji-382318/,2019-10-23
/events/sudispolniteli-arestovali-prodali-elitnyiy-mercedes-321546/,2017-07-03
/crime/zaderjan-rejisser-talgad-janyibekov-advokat-309035/,2016-12-28
/kazakhstan_news/nachalnik-kolonii-hotel-obmanut-zaklyuchennogo-6-millionov-555042/,2024-11-25
/crime/prestupleniya-politseyskih-perechislil-glava-mvd-500063/,2023-05-25
/crime/ozvuchen-prigovor-nachalniku-upravleniya-dchs-almatyi-519929/,2023-12-12
/asia/glavu-samsung-doprosyat-kachestve-podozrevaemogo-delu-309835/,2017-01-11
/kazakhstan_news/nazarbaev-vstretilsya-s-shpekbaevyim-414230/,2020-09-15
/kazakhstan_news/sestra-nachalnika-kolonii-chernyiy-berkut-moego-brata-413019/,2020-09-03
/kazakhstan_news/uscherb-ot-korruptsii-v-goszakupkah-podschitali-v-kazahstane-387437/,2019-12-26
/kazakhstan_news/nachalniki-voinskoy-chasti-poluchali-vzyatki-v-zko-380997/,2019-10-08
/kazakhstan_news/stukachestvo-grajdanskaya-pozitsiya-ekspertyi-240-tyisyachah-346203/,2018-06-08
/kazakhstan_news/kazahstane-reshili-borotsya-korruptsiey-pomoschi-emodzi-365996/,2019-03-28
/asia/yujnoy-koree-obyiskali-ofisyi-lotte-fone-skandala-vokrug-306779/,2016-11-24
/crime/osujden-eks-direktor-filiala-ktj-424588/,2020-12-30
/kazakhstan_news/nachalnika-depo-posadili-vzyatku-15-milliona-tenge-553509/,2024-11-10
/kazakhstan_news/tokaev-provel-soveschanie-po-borbe-s-korruptsiey-411735/,2020-08-19
/kazakhstan_news/poyavilos-video-zaderjaniya-zamnachalnika-duis-379830/,2019-09-23
/kazakhstan_news/nedostatki-v-rabote-komiteta-minekologii-obsudili-v-akorde-386325/,2019-12-11
/crime/zaderjan-glava-slujbyi-pojarotusheniya-v-sko-374479/,2019-07-22
/kazakhstan_news/14-millionov-tenge-vyiplatili-soobschivshim-vzyatkah-405853/,2020-06-19
/kazakhstan_news/1300-smartfonov-izyyali-studentov-ekzamenah-magistraturu-376673/,2019-08-16
/kazakhstan_news/kommentariyah-internete-vyiskazalis-agentstve-delam-385790/,2019-12-05
/kazakhstan_news/12-millionov-poluchil-kazahstanets-soobschenie-korruptsii-489055/,2023-01-20
/kazakhstan_news/okrashennyiy-tenge-pomojet-borotsya-korruptsiey-otkatami-532143/,2024-04-15
/kazakhstan_news/glava-gask-pyitalsya-nekrasivo-trudoustroit-mat-karagande-374991/,2019-07-26
/kazakhstan_news/shpekbaev-zayavil-ob-usilenii-antikorruptsionnoy-slujbyi-374587/,2019-07-23
/kazakhstan_news/vernuli-857-milliardov-glava-antikora-dolojilsya-tokaevu-515995/,2023-11-06
/kazakhstan_news/nazvanyi-summyi-vzyatok-v-gosuchrejdeniyah-kazahstana-425808/,2021-01-13
/kazakhstan_news/glava-oblzdrava-zko-zaderjan-smi-418501/,2020-10-29
/crime/sotrudniki-kyizyilordinskogo-oblzdrava-podozrevayutsya-406531/,2020-06-26
/kazakhstan_news/otmenu-opravdatelnogo-prigovora-eks-glave-kazselezaschityi-542656/,2024-07-26
/kazakhstan_news/direktor-kyizyilordinskoy-shkolyi-pyitalas-poluchit-vzyatku-385062/,2019-11-27
https://tengrisport.kz/tnsport/vzyatka-17-milliona-zaversheno-sledstvie-glave-upravleniya-550603/,2024-10-10
/kazakhstan_news/eks-glave-pogranslujbyi-rk-mogut-sokratit-srok-amnistii-311228/,2017-01-31
/kazakhstan_news/bezobrazie-zamestitel-shpekbaeva-potreboval-navesti-poryadok-347715/,2018-06-28
/kazakhstan_news/almatyi-predlojili-otmenit-zachislenie-shkolyi-325159/,2017-08-25
/kazakhstan_news/ogromnyie-sredstva-veter-antikor-nachal-proveryat-minselhoz-451244/,2021-10-14
/kazakhstan_news/zaderjan-akim-rayona-turkestanskoy-oblasti-350091/,2018-07-25
/kazakhstan_news/hudaybergenov-situatsiya-gosslujbe-dostigla-pika-403385/,2020-05-25
/kazakhstan_news/korobka-konfet-million-tenge-budet-schitatsya-vzyatkoy-559751/,2025-01-15
/kazakhstan_news/sertifikatyi-ent-prodavali-v-vko-nazvana-tsena-524174/,2024-01-24
/autonews/kogo-smogut-sudit-za-vzyatki-s-2025-goda-v-kazahstane-542099/,2024-07-22
/kazakhstan_news/prokurora-podsudimogo-slushaniya-delu-eks-deputata-altaeva-514833/,2023-10-27
/kazakhstan_news/antikore-rasskazali-ugolovnyih-delah-sfere-zemelnyih-503646/,2023-07-01
/latin/desyatki-eks-chinovnikov-okazalis-sledstviem-delu-korruptsii-476040/,2022-08-23
