Date,Text
2019-10-03,"В Атырау начался судебный процесс по делу бывшего заместителя акима области и нескольких экс-чиновников. Их обвиняют в растрате государственных средств, передаетTengrinews.kzсо ссылкой на канал""Астана"".Несмотря на то что судебный процесс проходил в открытом режиме, обвиняемые выступили против проведения видеосъемки. На скамье подсудимых - восемь человек. Они были задержаны в начале года. Среди них экс-руководитель областного управления образования, его зам, а также бывший заместитель акима по социальной сфере. Последний был доставлен в зал суда из СИЗО. Остальные находятся под домашним арестом.По материалам дела, начальник отдела образования трудоустроил свою супругу в методический центр. Однако женщина не знала об этом. Заработную плату чиновник тратил на личные нужды. Его заместитель присвоила сумму в 39 миллионов тенге. Эти средства были выделены на проведение Президентской елки для детей из малообеспеченных семей.СудКоррупцияАтырау"
2019-10-05,"Главу Управления здравоохранения Атырауской области не будут снимать с должности, передает корреспондентTengrinews.kz. Об этом журналистам сообщил министр здравоохранения Елжан Биртанов.Продолжение■Глава управления здравоохранения Атырауской области ушла с поста18 октября 2019, 14:05Ранее глава Минздрава сампредложилосвободить от должности главу управления. Однако позже министр пояснил, что его обращение было в рамках этики госслужащего и ""тех поручений, которые давал Елбасы и глава государства"".""В случае если непосредственный подчиненный обличен в коррупции, то руководитель должен публично об этом заявить и дать прошение, что и сделала руководитель Управления здравоохранения. По-своему я поддерживаю это. Но решение уже непосредственного руководителя, акима области, принимать или не принимать это заявление. Мы переговорили с акимом Атырауской области. И он принял решение, что она будет продолжать работать, поскольку действительно есть факты и дела, которые этот руководитель осуществляет. Акимат считает, что она должна продолжать работу"", - рассказал Биртанов.Министр отметил, что еще летом этого года Касым-Жомарт Токаев на особом совещании в Администрации Президента поднимал вопрос младенческой смертности.""В  Атырауской области это как раз-таки выявлено благодаря нашей совместной работе с местными исполнительными органами. Проблемы есть, мы их видим, мы их решаем. Не главное, кто кому подотчетен, главное, чтобы была слаженная работа. В чем функция Министерства здравоохранения? Мы делаем стандарты, как правильно оказывать родовспоможение, стандарты оказания акушерской, педиатрической помощи. Мы разрабатываем четкие планы мер по снижению случаев материнской и младенческой смертности. Их нужно исполнять. Здесь должны быть четкие действия на местах, должны привлекаться профессионалы и осуществляться контроль за их работой. В том числе недопущение фактов коррупции. Общественный контроль должен быть"", - подытожил он.Напомним, глава Атырауского областного перинатального центра подозревается в убийстве новорожденного. По данным следствия, после рождения младенец по халатности был оформлен как мертворожденный, тогда как фактически он еще был жив.Появились первые подробности смерти ребенка в холодильнике роддома в АтырауПравоохранители считают, что после подачи ребенком признаков жизни врачи, при наличии возможности, вместо принятия неотложных меррешили действоватьсогласно оформленным документам и положили младенца в холодильную камеру. Одной из причин действий врача могли послужить уже заполненные в базе документы, которые не могли быть откорректированы.новорожденныеМинздравКоррупцияЗдравоохранениеБиртанов ЕлжанАтырауская область"
2020-07-10,"Режиссер, продюсер, актер Нұртас Адамбай еліміздегі жемқорлық мәселесіне қатысты пікір білдірді, деп хабарлайдыTengrinews.kzтілшісі.Алдымен ол өз жобаларында қоғамдағы өзекті мәселені көтеруге тырысатынын атап өтті.""Менің ойымша, қазіргі таңда еліміздегі ең өзекті мәселенің бірі - сыбайлас жемқорлық. Барлық мүмкіндік бола тұра, өзімізден өзіміз (ақша - автор) ұрлап жүрміз. Осылайша, болашағымызды құртып жүрміз. Сондықтан біз сыбайлас жемқорлық мәселесіне мән беріп отырмыз. Адамдардың мәселеге сырттан қарауға мүмкіндігі болуы керек. Сыбайлас жемқорлықпен былыққа батқандар бұған жағымсыз дүние, қылмыс ретінде қарамайды"", - дейді ол сыбайлас жемқорлыққа қарсы іс-қимыл агенттігініңFacebook-тегі парақшасында өткен брифингте.Нұртас Адамбай елімізде ақша табудың жағымсыз тенденциясы қалыптасқанын ашық айтты.""Өкінішке қарай, бізде ұрлық ""ақша табу"" деген сөздің синониміне айналды. Мысалы, кейбіреу бір жобадан осынша ақша таптым дейді. Егер бұл жағдайға тереңірек қарасақ, ол бір жобадан ақшаны ұрлап алып, осы әрекетін мақтан тұтады. Ол өзінің не істегенін түсінбейді. Оның ойынша, ойынның тәртібі сондай. Егер басқалары осындай әрекетке барса, оның да мемлекетімізді тонауға моральдық құқығы бар сияқты"", - дейді продюсер.Осы орайда режиссер өмірде болған оқиғадан мысал келтірді.""Мен жақын танысыммен сөйлестім. Ол ағасының бір мекемеге лауазымды қызметке тағайындалғалы жатқанын айтты. Ол маған осы мекемеден тендер алғысы келетінін жеткізді. Мен оған ""Сен немен айналысқалы жатқаныңды түсінесің бе? Өз мемлекетіңнен ақша ұрлағалы жатырсың ғой"" дедім. Ол ""егер мен мұны істемесем, басқа біреу істейді"" дейді. Түсінесіз бе? Біз санамызды өзгертуіміз керек"", - дейді Нұртас Адамбай.Оның пікірінше, жемқорлық қоғам үшін өте қауіпті.""Егер мемлекеттен ақша ұрласаң, ол халықтан ақша ұрлағаның, осыны біз түсінуіміз керек. Салдарынан ертең балаң шұрық-тесік жолдармен жүреді, құдай сақтасын, біреу оны тонап кетуі мүмкін. Себебі, құқық қорғау органдарындағы сыбайлас жемқорлық деңгейінің қандай екенін білеміз"", - дейді продюсер.Айта кетейік, кеше Алматы облысында пара алған шенеунік өзенге секіріп кеткенінхабарланған еді.КоррупцияКазахстан"
2023-07-29,"В Жамбылской области родители двух утонувших в бассейне со сточными водами мальчиков обвиняют в их смерти чиновников. Близкие уверены, к трагедии привело безразличие сотрудников акимата. Много лет местные жители просили огородить водоем, но госслужащие не реагировали. В итоге свободный доступ к опасному объекту закончился несчастным случаем, передаетTengrinews.kzсо ссылкой на телеканал ""КТК"".Трагедия в Шу произошла в начале июля. Света Шалбаева, мама одного из утонувших мальчиков, рассказывает, что в злополучный день ее сын ушел с друзьями погулять, а через полчаса ей сообщили, что ее ребенок погиб.""Три мальчика, включая моего сына, вышли поиграть на улицу. Как оказалось, они пошли к бассейну сточных вод. Дети не знали, что туда сливают канализационные отходы. Думали, что это пруд, и, наверное, хотели искупаться. Мой сын и соседский мальчик сразу ушли под воду. Третий ребенок был на суше. Он и сообщил об этой трагедии. Всего этого можно было избежать, если бы акимат поставил там ограждение. Их безразличие привело к смерти детей"", - говорит женщина.Не только безразличие, но и коррупция стала причиной трагедии, считают жители Шу. Десять лет назад они просили ликвидировать бассейн сточных вод, расположенный прямо в городе. Тогда чиновники обещали выполнить просьбу и даже нашли деньги на строительство нового объекта за пределами населенного пункта. Однако выделенные из бюджета средства в дело так и не пошли.""10 лет назад государство выделило 1 миллиард 200 миллионов тенге. Но как бы чуть-чуть яму вырыли, и на этом процесс завершился. Деньги разворовали, завелось уголовное дело, и там это уголовное дело очень долго длилось. Один из участников уголовного дела умер. В общем, ни виновника теперь, ни денег нет"", - рассказывает Аида Бауденова, местная жительница.Деньги на перенос бассейна действительно выделяли, говорят чиновники. Но работы не состоялись не по вине властей, а из-за подрядчика. Незавершенное дело чиновники все же намерены довести до конца.""Со стороны государства подрядчику было выделено 839 миллионов тенге. Правда, он эти деньги использовал не по назначению. Потому был осужден. С 1 июля этого года бассейн сточных вод перешел на баланс акимата. Мы намерены модернизировать этот объект, а точнее – перенести его на 12 километров от города. Сейчас уже разрабатывается ПСД. Что касается трагедии, то назвать виновных я не могу"", - комментирует ситуацию Елдос Нуралиев, аким Шу.Кто виновен в смерти детей, предстоит выяснить полицейским. Они возбудили уголовное дело. В свою очередь чиновники обещают в течение трех месяцев установить ограждение, но только вдоль самых опасных участков.Все новости с нашего сайта - в нашем новом Telegram-канале. Вы будете в курсе главных событий - подписывайтесь по ссылке!ШуДетиУтонувшиечиновникиКоррупция"
2019-02-19,"В Шымкенте за взятку задержан заместитель руководителя городского управления образования. Чиновника обвиняют в получении почти полутора миллионов тенге от индивидуального предпринимателя за продление срока аренды столовой в городской школе, сообщаетOtyrar.kz.Ему предъявлены обвинения по статье ""Получение взятки"". Данную информацию подтвердили в Управлении образования Шымкента.В ведомстве уточнили, что на момент задержания заместитель руководителя находился в отпуске. ""Человек, работавший в должности заместителя Управления образования Шымкента, написал заявление о предоставлении отпуска с последующим увольнением. В настоящее время он находится в отпуске. У нас нет другой информации"", - прокомментировали в управлении образования.Подозреваемый арестован на два месяца с санкции специализированного следственного суда Шымкента. ""Экс-чиновник арестован на два месяца при беззалоговом расследовании. Сегодня подозреваемый подал апелляционную жалобу на намерение заменить под залог меру пресечения"", - сообщил судья Сержан Айнабеков.ШымкентПравоохранительные органыКоррупцияЗадержаниеВзятка"
2023-11-17,"Tengrinews.kzподготовил дайджест главных и самых интересных новостей за 17 ноября.НазначенияВ Бюро национальной статистики сменился руководитель. Глава государства назначил на эту должность Максата Турлубаева, который ранее был замруководителя бюро. Что о нем известно, читайтездесь.А вот Игорь Ильин, сын экс-министра по чрезвычайным ситуациям Юрия Ильина,возглавил компаниюKarabatan Utility Solutions, ""дочку"" ""Самрук-Казына"".Важно знатьЭвакуированные из сектора Газаказахстанцы прибылив Алматы. Специальный эвакуационный борт вывез 99 человек: граждан Казахстана и членов их семей.Министр водных ресурсов и ирригации Нуржан Нуржигитовответил на критикупо поводу организации труда на предприятии ""Казводхоз"". Он опроверг информацию о том, что сотрудников незаконно увольняли с работы.Казахстанские мужчинывстали на защиту женщин. Общественные деятели объявили о запуске челленджа""Против насилия, за здравый смысл"", который предлагает план борьбы с насилием в Казахстане. По плану он должен продлиться до конца 2024 года.Карантинобъявили во всех медучрежденияхобласти Абай. Причина - заболеваемость корью.Казахстанцамзапретили использоватьинтернет Илона Маска. В ""цифровом"" министерстве заявили, что использовать спутники американской компании Starlink в личных целях незаконно. За это могут оштрафовать на 10 МРП (34 500 тенге).ЗадержанияВ Петропавловскезадержали блогеров, которые подозреваются в вымогательстве. Директор одной из торговых сетей обратился в полицию и заявил, что местные жители вымогали у него 50 миллионов тенге. Начато досудебное расследование.Сотрудники полиции и ДКНБ Павлодарской области задержали 49-летнего жителя Аксу. В его гараженашли и изъяли800 рогов сайгаков весом около 170 килограммов. Со слов мужчины, рога он приобрел у жителя Астаны с целью перепродажи.ПроисшествияВ гостиницу, где разместился состав сборной по футболу Сан-Марино,поступил звоноко заложенном взрывном устройстве. Об этом сообщили в столичной полиции, которая теперь разыскивает ""шутника"". Возбуждено уголовное дело согласно статье 273 Уголовного кодекса ""Заведомо ложное сообщение об акте терроризма""Судебные процессыЭкс-глава ""Оператора РОП"" Шнар Муктаровавыступила с последним словомв суде. Она полностью признала вину и попросила суд не лишать ее свободы. Муктарова заявила, что не знала тонкостей законодательства и, будучи уверенной в законности проведенных процедур, согласилась подписать ряд документов. Судьяназначил ей 7 лет лишения свободы условно.Судебная коллегия удвоила наказание виновномув смерти срочника на заставе ""Шөлдала"". Изначально суд назначил ему наказание в виде 3 с половиной года лишения свободы. Однако судейская коллегия пересмотрела приговор. Подробности - поссылке.Подполковников полиции осудили в Павлодаре. Суд признал подсудимых виновными в мошенничестве и назначил одному из подсудимых 4,5 года лишения свободы, второму - 4 года лишения свободы.ИнтересноеВ Антикоре рассказали,сколько казахстанцев заработали на коррупционерах. Всего их 50 человек. Самая большая сумма вознаграждения составиласвыше 12 миллионов тенге. Их получил житель Атырауской области - за ""содействие в изобличении экс-заместителя акима региона"".WhatsApp заставит платить за полноценное пользование мессенджером. Команда мессенджера объявила об изменении, согласно которому резервные копии чатов и медиафайлов WhatsApp на Android ""будут учитываться при расчете лимита облачного хранилища вашего аккаунта Google"".Подробнее рассказывает Tengri Life.Нурсултан Назарбаев спустя несколько дней после смерти брата Болата Назарбаеваобратился к казахстанцами поблагодарил их за слова поддержки. Экс-президент отметил, что за последние дни на его имя пришло большое количество писем и телеграмм, а также откликов посредством социальных сетей.""Ваши добрые слова стали настоящим утешением для меня и моей семьи. И я от всего сердца благодарю каждого из вас за заботу и понимание, за каждый жест доброты, за готовность быть с нами в этот трудный момент"", - написал он.ПогодаПохоже, в Казахстане все-таки наступит зима в этом году. Синоптики прогнозируютрезкое похолодание до 16 градусов ниже нуля. В ряде регионов ожидаются дождь, метель и гололед. Подробный прогнозздесьиздесь.Наши новости теперь в WhatsApp! Подписывайтесь на наш канал в самом популярном мессенджереНовостиКарантинкорьПриговорПогодаУголовное делоИнтернетзадержаниядомашнее насилиеКазахстанцыСектор ГазаСудНазначенияНазарбаев НурсултанНазарбаев НурсултанКоррупция"
2020-10-02,"Антикоррупционной службой по Алматинской области начато досудебное расследование в отношении заместителя руководителя Департамента внутреннего государственного аудита Алматинской области. По подозрению в совершении тяжкого коррупционного преступления также задержали главного специалиста департамента, передаетTengrinews.kz.""Они подозреваются в получении взятки в сумме одного миллиона тенге от руководителя ГУ ""Отдел жилищно-коммунального хозяйства Жамбылского района"" за изменение в положительную сторону результатов аудиторской проверки по проверяемому объекту ""Реконструкция и строительство системы водоснабжения села Самсы Жамбылского района"" на основании поручения по уголовному делу, находящемуся в производстве антикоррупционной службы Алматинской области"", - сообщили в Антикоррупционной службе.Ранее были задержаны следователь следственного управления Департамента экономических расследований по ЗКО. Вместе с этим начато расследование и в отношении оперуполномоченного оперативного управления ДЭР. Также сотрудники Антикоррупционной службы подозревают в получении взятки следователя Отдела полиции при Медеуском РУП Департамента полиции Алматы.Только главные новости - в Telegram-канале Tengrinews.kz! Подпишись и получай самое важное прямо на свой телефон.КоррупцияАлматинская область"
2017-07-21,"В Генеральной прокуратуре РК рассказали, сколько судей пересели из своих кресел на скамью подсудимых и за что были осуждены с 2015 года, передает корреспондентTengrinews.kz.Продолжение■Самосожжение женщины из-за дома в Алматы: Судье по делу грозит 4,5 года тюрьмы09 октября 2017, 18:24■Самосожжение матери пятерых детей в Алматы: Обвиняемого судью оправдали20 октября 2017, 16:05■Самосожжение матери пятерых детей в Алматы: почему оправдали судью20 октября 2017, 18:31""По вашему запросу сообщаем, что в период с 2015 по 6 месяцев 2017 года было осуждено четверо судей Республики Казахстан, из которых трое в 2015 году (все 3 по коррупционным преступлениям; 2 - мошенничество; 1 - получение взятки) и один в 2016 году за получение взятки. За 6 месяцев 2017 года осужденных судей нет. К сожалению, фамилии осужденных судей, их сроки отбывания наказания и места предыдущей работы попадают под сведения, которые являются персональными данными и не могут быть разглашены"", - сообщили в Комитете по правовой статистике и специальным учетам Генеральной прокуратуры РК в ответе на официальный запросTengrinews.kz.Напомним, что в середине июля 2017 года в Алматы прошли предварительные слушания по делу обобвинениибывшего судьи Алатауского районного суда Умирзака Серимова в вынесении заведомо неправосудного решения, повлекшего тяжкие последствия, а также злоупотреблении должностными полномочиями. Умирзак Серимов в 2009 году узаконил брак между умершим алматинцем и его гражданской супругой. Благодаря этому решению женщина оформила наследство на дом и продала его многодетной матери Светлане Турганбаевой. Однако брат умершего добился отмены решения. Когда выселяли Турганбаеву из купленного ею дома, она совершила акт самосожжения и скончалась в больнице.15 мая 2015 года экс-судья Алматинского городского суда Кульпаш Утемисовадобиласьсмягчения наказания. Суд изменил ей лишение свободы на ограничение. Ееосудилив мае 2014 года к 4,5 годам заключения за вынесение заведомо неправосудного акта, повлекшего тяжкие последствия.Кульпаш Утемисова в зале суда. ©Роза ЕсенкуловаОна, рассматривая дело российского бизнесмена Александра Сутягинского в апелляционной коллегии, смягчила ему приговор, заменив 12 лет лишения свободы на условный срок. Бизнесмен был осужден за организацию заказного убийства своего партнера Михаила Гаркушкина, а также незаконное хранение огнестрельного оружия и боеприпасов. После апелляции Александр Сутягинский сбежал. Вынесенный судьей Утемисовой приговоротменилив кассации. Тогда же в адрес судьи было вынесено частное постановление, в котором говорится, что обвиняемая совершила ""грубое, умышленное нарушение законности при осуществлении правосудия, выразившееся в неправильной оценке собранных доказательств и неправильном применении нормы уголовного закона"".В 2015 году апелляционная коллегия по уголовным делам западно-казахстанского областного суда смягчила наказание экс-председателю суда № 2 Зеленовского района ЗКО Бахытжану Сатыбалдиеву и уменьшила срок лишения свободы с 6 лет до 1 года и 6 месяцев с конфискацией имущества. Он обвинялся в получении взятки.Бахытжан Сатыбалдиев в феврале 2014 года былзадержанс поличным в рабочем кабинете за взятку в 200 тысяч тенге (чуть больше 1000 долларов). На вымогательство судьи пожаловался в финпол один из местных предпринимателей.В мае 2014 года бывший судья Талдыкорганского городского суда Аслан Нурбосынов был признан виновным в совершении преступлений по статьям УК РК: 24 части 4 ""Приготовление к преступлению и покушение на преступление"", 311 части 4 ""Получение взятки"", 177 части 3 ""Мошенничество"", 28, части 4 ""Подстрекательство"", 312 части 4 ""Дача взятки"" и осужден к 9 годам лишения свободы. Онобвинялсяв том, что в мае 2013 года, будучи судьей Талдыкорганского городского суда, получил взятку в размере 3 миллионов тенге от гражданки за вынесение положительного судебного решения по гражданскому делу в ее пользу. 2 сентября Нурбосынов был освобожден от должности судьи в связи с переходом на другую работу. 19 сентября Нурбосынов был задержан, а 21 сентября с санкции суда арестован.В мае 2014 года бывший судья Аральского района Кызылординской области Есимхан Жамбылбаевприговоренк семи годам лишения свободы за взятку в 100 тысяч тенге. По словам сотрудников финансовой полиции, судья получил деньги за положительное решение по гражданскому делу.В 2014 году бывших председателя Костанайского городского суда Самалбека Мухтарова осудили на 7 лет лишения свободы и судью Серика Кашкинбаева осудили к 5 годам заключения заполучение взяткиза положительное решение по гражданским делам.В середине апреля 2013 года сенат Казахстана по представлению Президента РК освободил от должности шесть судей Верховного суда РК: Марзию Балтабай, Марклена Камназарова, Бахытжана Жакупова, Максута Абилкаира, Ташенову и Джакишева за выявленные финансовой полицией коррупционные преступления.В отношении Ташеновой и Джакишева были возбуждены уголовные дела по фактам злоупотребления должностными полномочиями, получения и дачи взятки, вынесения заведомо неправосудного судебного акта.1 июня 2013 года Джакишев за дачу взятки в особо крупном размере был осужден на 12 лет заключения с конфискацией имущества, а Ташенова за получение взятки в особо крупном размере получила 10 лет колонии с конфискацией имущества.В начале декабря апелляционная коллегия суда по уголовным делам Карагандинской области отменила приговор в отношении экс-судей Верховного суда Ташеновой и Джакишева, вынесенный судом Акмолинской области, и отправила дело на доследование. 31 января кассационная коллегия суда Карагандинской области отменила решение апелляционной инстанции иоставилав силе обвинительный приговор.В феврале 2010 года апелляционная коллегия Южно-Казахстанского областного судаоставилаприговор в силе экс-судье Мактааральского районного суда № 2 Сералы Абдрахманову. Он был осужден к 9 годам лишения свободы за получение взятки.Абдрахманов был задержан 29 января 2009 года сотрудниками Департамента по борьбе с экономической и коррупционной преступностью по ЮКО в здании суда после вынесения приговора. Ему была передана взятка в размере 180 тысяч тенге (примерно 1,2 тысячи долларов) от гражданки Раушан Ерекеевой. Бывший бухгалтер сельского акимата обвинялась в хищении 154 тысяч тенге (около тысячи долларов). Всего Абдрахманов требовал от Ерекеевой пять тысяч долларов за смягчение приговора. Деньги судье передала сестра обвиняемой.В октябре 2011 года районный судья Алматинской области Нурлан Козыбаевприговоренк десяти годам лишения свободы с конфискацией имущества за получение взятки. В июле 2010 года в Талгарский районный суд обратился гражданин Менисов. Он просил отменить договор купли-продажи земельного участка, проданного, по его мнению, незаконно. Рассматривавший дело судья Козыбаев потребовал у Менисова 20 тысяч долларов за положительный исход дела. Получить деньги от истца он поручил работнику местного отдела земельных отношений Кайрату Даулетову. После получения взятки Даулетов направился в обменный пункт. Он решил обменять доллары на тенге, желая избавиться от вещественных доказательств. Финансовые полицейские задержали его на пороге обменного пункта.В мае 2010 года бывший председатель административного суда Костаная Ербол Панзабековприговоренк десяти годам лишения свободы за покушение на убийство своей экс-супруги. Костанайский судья был задержан в октябре 2009 года. Панзабеков пытался расстрелять из охотничьего ружья автомобиль, в котором находилась его бывшая жена Балжан Увалиева. Конфликт между экс-супругами возник из-за кирпичного завода, который они не могли поделить.ПравосудиеМошенничествоКоррупция"
2019-10-10,"Начальника Шалкарской дистанции пути АО ""НК ""КТЖ"" Актюбинского отделения подозревают в получении 1,2 миллиона тенге взятки. Видео его задержания предоставили в Антикоррупционной службе, передаетTengrinews.kz.""Антикоррупционной службой Актюбинской области начато досудебное расследование в отношении начальника Шалкарской дистанции пути филиала АО ""НК ""КТЖ"" Актюбинского отделения магистральной сети по подозрению в получении взятки. Он подозревается в получении взятки в общей сумме 1,2 миллиона тенге от гражданина за трудоустройство его сына"", - сообщили в ведомстве.Досудебное расследование продолжается, подозреваемый задержан и водворен в ИВС Управления полиции Актобе. Окончательное решение в отношении подозреваемого с определением степени его виновности будет вынесено судом.КТЖКоррупцияАктюбинская область"
2017-11-30,"В специализированном межрайонном суде по уголовным делам Западно-Казахстанской области вынесен приговор экс-сотруднику Департамента госдоходов Нурболату Урналиеву, которого обвиняли в получении взятки в размере 101 миллиона тенге, передает корреспондентTengrinews.kz.Его признали виновным по всем вменяемым статьям и приговорили к 13 годам лишения свободы с отбыванием наказания в колонии максимальной безопасности с конфискацией имущества.Напомним,экс-сотрудник ДГД ЗКО был задержансотрудниками Национального бюро по противодействию коррупции в июле 2017 года по подозрению в получении взяток на общую сумму 101 миллион тенге.УральскКоррупцияЗападно-Казахстанская областьВзятка"
