Date,corruption,bribe,verdict,embezzlement,investigation,detention,dollar,million,billion,agency,crime,court,ministry,akim,chief,deputy,district,city,region,offense
2016-11-30,54,76.0,6.0,10.0,15.0,20.0,16.0,35.0,6.0,40.0,21.0,28.0,20.0,1.0,4.0,17.0,6.0,5.0,32.0,7.0
2016-12-31,40,24.0,2.0,4.0,11.0,7.0,3.0,15.0,1.0,24.0,6.0,16.0,13.0,6.0,3.0,9.0,4.0,3.0,14.0,6.0
2017-01-31,41,29.0,1.0,1.0,14.0,16.0,4.0,13.0,7.0,7.0,4.0,26.0,8.0,9.0,5.0,16.0,13.0,3.0,14.0,2.0
2017-02-28,24,16.0,15.0,19.0,16.0,10.0,18.0,40.0,11.0,5.0,10.0,43.0,8.0,3.0,5.0,3.0,3.0,9.0,14.0,3.0
2017-03-31,33,26.0,10.0,24.0,26.0,8.0,8.0,45.0,12.0,8.0,30.0,62.0,25.0,12.0,2.0,18.0,17.0,12.0,23.0,7.0
2017-04-30,42,22.0,1.0,13.0,10.0,1.0,20.0,20.0,9.0,13.0,11.0,33.0,14.0,1.0,10.0,18.0,2.0,9.0,18.0,5.0
2017-05-31,13,20.0,9.0,20.0,11.0,1.0,7.0,21.0,7.0,11.0,8.0,49.0,6.0,4.0,5.0,12.0,3.0,7.0,5.0,3.0
2017-06-30,7,15.0,6.0,3.0,3.0,4.0,4.0,10.0,1.0,4.0,5.0,21.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0
2017-07-31,27,48.0,8.0,4.0,19.0,6.0,44.0,62.0,30.0,3.0,15.0,56.0,5.0,2.0,3.0,6.0,6.0,7.0,26.0,7.0
2017-08-31,16,10.0,5.0,3.0,14.0,1.0,1.0,14.0,1.0,7.0,4.0,14.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,2.0
2017-09-30,6,31.0,23.0,2.0,5.0,3.0,3.0,12.0,1.0,3.0,3.0,30.0,1.0,2.0,1.0,3.0,7.0,1.0,12.0,1.0
2017-10-31,61,54.0,13.0,15.0,42.0,9.0,29.0,24.0,9.0,4.0,23.0,44.0,8.0,9.0,3.0,18.0,9.0,9.0,32.0,1.0
2017-11-30,58,35.0,10.0,8.0,20.0,5.0,23.0,24.0,22.0,11.0,27.0,48.0,6.0,9.0,5.0,12.0,9.0,8.0,11.0,2.0
2017-12-31,17,40.0,29.0,4.0,14.0,4.0,16.0,32.0,14.0,2.0,10.0,43.0,5.0,8.0,5.0,10.0,4.0,3.0,10.0,3.0
2018-01-31,29,42.0,8.0,7.0,17.0,2.0,18.0,36.0,13.0,20.0,21.0,92.0,5.0,1.0,6.0,3.0,1.0,2.0,8.0,6.0
2018-02-28,50,65.0,11.0,16.0,17.0,12.0,11.0,49.0,3.0,7.0,27.0,127.0,14.0,2.0,1.0,9.0,5.0,2.0,7.0,6.0
2018-03-31,20,99.0,24.0,5.0,12.0,6.0,11.0,46.0,14.0,7.0,17.0,116.0,3.0,6.0,11.0,20.0,8.0,5.0,17.0,5.0
2018-04-30,16,27.0,4.0,8.0,1.0,2.0,10.0,20.0,10.0,8.0,10.0,21.0,4.0,3.0,2.0,1.0,1.0,1.0,7.0,3.0
2018-05-31,43,21.0,16.0,9.0,4.0,1.0,5.0,10.0,2.0,5.0,4.0,28.0,1.0,1.0,3.0,4.0,1.0,1.0,17.0,3.0
2018-06-30,52,30.0,6.0,6.0,12.0,8.0,18.0,30.0,10.0,15.0,12.0,24.0,14.0,3.0,7.0,12.0,3.0,1.0,10.0,8.0
